name,gender,first_arc,affiliation,bounty,height,devil_fruit_type,haki
Monkey D. Luffy,Male,Romance Dawn,Straw Hat Pirates,3000000000,1.74,Paramecia,Observation; Armament; Conqueror's
Roronoa Zoro,Male,Romance Dawn,Straw Hat Pirates,1111000000,1.81,None,Observation; Armament
Nami,Female,Orange Town,Straw Hat Pirates,366000000,1.70,None,None
Usopp,Male,Syrup Village,Straw Hat Pirates,500000000,1.76,None,Observation
Sanji,Male,Baratie,Straw Hat Pirates,1032000000,1.80,None,Observation; Armament
Tony Tony Chopper,Male,Drum Island,Straw Hat Pirates,1000,0.90,Zoan,None
Nico Robin,Female,Alabasta,Straw Hat Pirates,930000000,1.88,Paramecia,None
Franky,Male,Water 7,Straw Hat Pirates,394000000,2.25,None,None
Brook,Male,Thriller Bark,Straw Hat Pirates,383000000,2.77,Paramecia,None
Portgas D. Ace,Male,Drum Island,Whitebeard Pirates,550000000,1.85,Logia,Observation; Armament
Shanks,Male,Romance Dawn,Red Hair Pirates,4000000000,1.90,None,Observation; Armament; Conqueror's
Marshall D. Teach,Male,Jaya,Blackbeard Pirates,4000000000,1.88,Logia,Observation; Armament; Conqueror's
Buggy,Male,Orange Town,Cross Guild,3000000000,1.95,Paramecia,None
Dracule Mihawk,Male,Baratie,Cross Guild,3600000000,1.98,None,Observation; Armament
Donquixote Doflamingo,Male,Jaya,Donquixote Pirates,3400000000,1.90,Paramecia,Observation; Armament
Crocodile,Male,Alabasta,Cross Guild,1900000000,1.95,Logia,Observation; Armament
Boa Hancock,Female,Amazon Lily,Kuja Pirates,2200000000,1.91,Logia,Observation; Armament; Conqueror's
Trafalgar D. Water Law,Male,Sabaody Archipelago,Heart Pirates,3000000000,1.78,Paramecia,Observation
Eustass Kid,Male,Sabaody Archipelago,Kid Pirates,3000000000,1.85,Paramecia,Observation; Armament; Conqueror's
Jinbe,Male,Impel Down,Sun Pirates,1100000000,2.00,None,Observation; Armament
Vinsmoke Reiju,Female,Whole Cake Island,Germa 66,200000000,1.70,None,None
Charlotte Katakuri,Male,Whole Cake Island,Big Mom Pirates,1000000000,2.10,Paramecia,Observation; Armament; Conqueror's
Kuzan,Male,Enies Lobby,Marine,1010000000,1.98,Logia,Observation;  Armament;
Sabo,Male,Post-War,Revolutionary Army,602000000,1.88,Logia,Observation; Armament
Killer,Male,Sabaody Archipelago,Kid Pirates,470000000,1.82,Zoan,Observation; Armament
Magellan,Male,Impel Down,Impel Down,550000000,2.15,Paramecia,Observation; Armament
Hina,Female,Marineford,Marine,40000000,1.72,Paramecia,Observation
